dataset,model,offset_bin,f1_mean,f1_std,seeds
Strict FINS: 29 messages,Mamba-PRE,1-32,0.44972839299157974,0.025557999180946114,5
Strict FINS: 29 messages,Mamba-PRE,33-128,0.012539184952978056,0.028038469937301434,5
Strict FINS: 29 messages,Mamba-PRE,129-256,0.0,0.0,5
Strict FINS: 29 messages,Mamba-PRE,257-512,0.0005738880918220947,0.001283252784791845,5
Strict FINS: 29 messages,Mamba-PRE,513+,0.0,0.0,5
Strict FINS: 29 messages,BiGRU,1-32,0.4592782036937371,0.07681194242884337,5
Strict FINS: 29 messages,BiGRU,33-128,0.31161177019556224,0.13483063424351166,5
Strict FINS: 29 messages,BiGRU,129-256,0.30166833588123176,0.21706427348395074,5
Strict FINS: 29 messages,BiGRU,257-512,0.23627100168326803,0.1953098319605687,5
Strict FINS: 29 messages,BiGRU,513+,0.3061841330979511,0.3726043813200564,5
Strict FINS: 29 messages,Transformer,1-32,0.5395663093718609,0.07691363820180987,5
Strict FINS: 29 messages,Transformer,33-128,0.26871153006502846,0.11030394890490705,5
Strict FINS: 29 messages,Transformer,129-256,0.26823621365409417,0.08821106335946072,5
Strict FINS: 29 messages,Transformer,257-512,0.22874256240612145,0.1661679995890111,5
Strict FINS: 29 messages,Transformer,513+,0.2579473123685647,0.29606301961884546,5
Public OPC UA pilot: 5 messages,Mamba-PRE,1-32,0.4409545216198504,0.049457342066970215,5
Public OPC UA pilot: 5 messages,Mamba-PRE,33-128,0.01976470588235294,0.024015565886405646,5
Public OPC UA pilot: 5 messages,Mamba-PRE,129-256,0.0,0.0,5
Public OPC UA pilot: 5 messages,Mamba-PRE,257-512,0.02735809856228704,0.02752302341078767,5
Public OPC UA pilot: 5 messages,Mamba-PRE,513+,0.0,0.0,5
Public OPC UA pilot: 5 messages,BiGRU,1-32,0.5581962873777792,0.06032274300326956,5
Public OPC UA pilot: 5 messages,BiGRU,33-128,0.05371646861476438,0.024514473723892552,5
Public OPC UA pilot: 5 messages,BiGRU,129-256,0.0,0.0,5
Public OPC UA pilot: 5 messages,BiGRU,257-512,0.053294584833054846,0.02959539417739529,5
Public OPC UA pilot: 5 messages,BiGRU,513+,0.005970149253731343,0.013349659567162924,5
Public OPC UA pilot: 5 messages,Transformer,1-32,0.4488070617568323,0.05040671063749891,5
Public OPC UA pilot: 5 messages,Transformer,33-128,0.18039255212214828,0.04840576007656707,5
Public OPC UA pilot: 5 messages,Transformer,129-256,0.0,0.0,5
Public OPC UA pilot: 5 messages,Transformer,257-512,0.0020833333333333337,0.004658474953124562,5
Public OPC UA pilot: 5 messages,Transformer,513+,0.0,0.0,5
